H1,H2,H3,H4,H5,H6,R1,R2,R3,R4,R5,R6
11.8701,11.78181,0,-0.088834847,-0.134250831,-0.043306647,-0.882181,0.8740555,0.109742,-0.072264809,0.053479307,-0.000171234
15.73524,15.76467,0,-0.118865612,-0.177965564,-0.057676335,-1.154167,1.1631595,0.142585,-0.09741186,0.071402816,0.000461445
19.67886,19.63962,0,-0.148082735,-0.222567907,-0.071992137,-1.428017,1.4384285,0.172124,-0.120947174,0.088987113,0.000585175
23.544,23.63229,0,-0.178187467,-0.26628264,-0.086379787,-1.693123,1.7203015,0.188133,-0.145476707,0.10406792,0.001146397
27.3699,27.52686,0,-0.207552524,-0.309553569,-0.100515968,-1.957117,2.0011335,0.217871,-0.169913545,0.121548216,0.002301747
31.52934,31.50972,0,-0.237583289,-0.356596835,-0.115424519,-2.242195,2.2839045,0.248062,-0.193540332,0.139822401,0.002474183
29.54772,29.53791,0,-0.222715841,-0.334184713,-0.108185789,-2.120394,2.1513015,0.289284,-0.180581658,0.142009199,0.006615557
25.64334,25.61391,0,-0.193128881,-0.290026175,-0.093852025,-1.852996,1.8787755,0.245576,-0.156144978,0.122026975,0.006285249
21.71934,21.70953,0,-0.163689856,-0.245645735,-0.079518261,-1.579427,1.5975855,0.193673,-0.135122077,0.100116374,0.004799105
17.67762,17.658,0,-0.13314132,-0.199933882,-0.06469952,-1.297986,1.3061775,0.159207,-0.109739155,0.081109616,0.003399255
13.75362,13.734,0,-0.10355436,-0.155553442,-0.050329832,-1.022125,1.0284225,0.133582,-0.083253704,0.064787429,0.002581033
9.82962,9.80019,0,-0.073893433,-0.111173002,-0.035942182,-0.735925,0.7346235,0.111954,-0.05790745,0.048449209,0.000859265
5.886,5.92524,0,-0.04467631,-0.06657066,-0.02162638,-0.43911,0.4495815,0.070941,-0.034722565,0.029508498,0.000532478
1.962,1.962,0,-0.01479348,-0.02219022,-0.007184844,-0.142698,0.1550635,0.026946,-0.011687413,0.009861869,1.97E-04
3.93381,0,3.93381,0.07080858,-0.036863734,-0.007202806,-0.29087,0.0041215,-0.2166875,-0.000945026,0.002332287,-0.000448834
7.848,0,7.848,0.141264,-0.103130568,-0.014369688,-0.589889,-0.0013855,-0.3952855,0.005185292,0.012155257,-0.000387024
11.85048,0,11.84067,0.21313206,-0.155709196,-0.021698229,-0.891273,-0.0003615,-0.6321615,-0.000975164,0.014994085,0.000904059
