H1,H2,H3,H4,H5,H6,R1,R2,R3,R4,R5,R6
11.8701,11.78181,0,0,0,0,-0.882181,0.8740555,0.109742,-0.072630471,0.055454663,-0.00175916
15.73524,15.76467,0,0,0,0,-1.154167,1.1631595,0.142585,-0.097896188,0.073969346,-0.001616056
19.67886,19.63962,0,0,0,0,-1.428017,1.4384285,0.172124,-0.121545277,0.092085345,-0.001985256
23.544,23.63229,0,0,0,0,-1.693123,1.7203015,0.188133,-0.146163186,0.107454314,-0.001901224
27.3699,27.52686,0,0,0,0,-1.957117,2.0011335,0.217871,-0.170713495,0.125469894,-0.001221064
31.52934,31.50972,0,0,0,0,-2.242195,2.2839045,0.248062,-0.19445802,0.144287517,-0.001561768
29.54772,29.53791,0,0,0,0,-2.120394,2.1513015,0.289284,-0.181550542,0.147216311,0.002798848
25.64334,25.61391,0,0,0,0,-1.852996,1.8787755,0.245576,-0.156974567,0.126447343,0.002949856
21.71934,21.70953,0,0,0,0,-1.579427,1.5975855,0.193673,-0.135795005,0.103602488,0.001956136
17.67762,17.658,0,0,0,0,-1.297986,1.3061775,0.159207,-0.110286601,0.083975342,0.00106288
13.75362,13.734,0,0,0,0,-1.022125,1.0284225,0.133582,-0.083697312,0.067191905,0.000741208
9.82962,9.80019,0,0,0,0,-0.735925,0.7346235,0.111954,-0.058251086,0.050464381,-0.0004654
5.886,5.92524,0,0,0,0,-0.43911,0.4495815,0.070941,-0.034934577,0.030785436,-0.00025792
1.962,1.962,0,0,0,0,-0.142698,0.1550635,0.026946,-0.011761463,0.010346897,-5.95E-05
3.93381,0,3.93381,0,0,0,-0.29087,0.0041215,-0.2166875,-0.000742461,-0.001568088,-0.0009724
7.848,0,7.848,0,0,0,-0.589889,-0.0013855,-0.3952855,0.005516791,0.005040118,-0.001448824
11.85048,0,11.84067,0,0,0,-0.891273,-0.0003615,-0.6321615,-0.000423618,0.003615178,-0.000700232
15.70581,0,15.77448,0,0,0,-1.175782,-0.0055395,-0.8055325,0.009139383,0.011568101,0.00050128
19.64943,0,19.61019,0,0,0,-1.457892,-0.0060475,-1.0063425,0.008921519,0.013428751,0.002864784
23.62248,0,23.61267,0,0,0,-1.743469,-0.0091795,-1.2104185,0.018846983,0.021172421,0.004966104
27.468,0,27.47781,0,0,0,-2.015713,-0.0135585,-1.4400965,0.012002704,0.021978017,0.00616148
31.42143,0,31.49991,0,0,0,-2.295306,-0.0181505,-1.6681025,0.005396412,0.018390235,0.007950176
29.45943,0,29.43981,0,0,0,-2.160117,-0.0107605,-1.5408925,0.017239031,0.020948395,0.0084578
25.52562,0,25.63353,0,0,0,-1.87736,-0.0079785,-1.3490445,0.000919114,0.010265833,0.006541392
21.73896,0,21.70953,0,0,0,-1.613572,-0.0082265,-1.1480245,0.002899531,0.012341907,0.004422288
17.66781,0,17.66781,0,0,0,-1.323868,-0.0081375,-0.9116595,0.008916217,0.017471878,0.001838512
13.75362,0,13.74381,0,0,0,-1.038751,-0.0065415,-0.7271635,0.006177252,0.004735682,-0.000113048
9.81981,0,9.80019,0,0,0,-0.743036,-0.0051715,-0.5053265,0.005748874,0.007482524,-0.000582608
5.89581,0,5.92524,0,0,0,-0.443383,-0.0027915,-0.3085945,0.003040396,0.003730183,-0.000248664
1.962,0,1.962,0,0,0,-0.149302,-0.0003455,-0.1129525,-0.000745353,-0.000171386,0.000111072
3.924,0,0,0.94804821,0,0,-0.3156355,0.01039,-0.1809075,-0.038019919,0.005753522,0.003290196
7.848,0,0,1.89846063,0,0,-0.5828525,0.012906,-0.3936975,-0.080895868,0.008497934,0.001679756
11.8701,0,0,2.837052,0,0,-0.8827355,0.016153,-0.5962895,-0.122010468,0.013415286,0.002460068
15.71562,0,0,3.78746442,0,0,-1.1574035,0.022387,-0.8031215,-0.163488616,0.015978309,0.00550186
19.64943,0,0,4.73078421,0,0,-1.4356765,0.035383,-1.0127785,-0.204884343,0.019580489,0.009650316
23.52438,0,0,5.67883242,0,0,-1.7065965,0.046208,-1.1965815,-0.244153244,0.024987969,0.01496326
27.50724,0,0,6.62924484,0,0,-1.9845175,0.034367,-1.4133525,-0.287148367,0.027757625,0.0160641
31.85307,0,0,7.58438568,0,0,-2.2574335,-0.004962,-1.6309125,-0.332856548,0.032876563,0.00977626
29.45943,0,0,7.09735842,0,0,-2.1179155,0.038399,-1.5122795,-0.307589264,0.031299218,0.017573764
25.506,0,0,6.14931021,0,0,-1.8667735,0.048668,-1.2982565,-0.264396401,0.029194908,1.73E-02
21.72915,0,0,5.22253989,0,0,-1.5974925,0.04579,-1.0918785,-0.223096713,0.026947542,0.014235676
17.80515,0,0,4.26739905,0,0,-1.3129455,0.037659,-0.8866625,-0.181858841,0.02270526,0.009974692
13.78305,0,0,3.32171505,0,0,-1.0100445,0.02111,-0.7172435,-0.145748727,0.013666241,0.003551964
9.81981,0,0,2.36184579,0,0,-0.7325375,0.025578,-0.5274955,-0.104873319,0.00515961,0.005448404
5.89581,0,0,1.42325442,0,0,-0.4235195,0.01489,-0.3130995,-0.063234183,0.00467528,0.001414452
2.03067,0,0,0.48466305,0,0,-0.1696605,0.009748,-0.1059635,-0.021288374,0.0014701,0.004118764
3.95343,0,0,0,1.46390706,0,-0.2946635,-0.0029805,-0.0981385,0.002413675,0.052439942,-0.001547468
7.87743,0,0,0,2.93148306,0,-0.5977625,-0.0035855,-0.2086875,0.0038463,0.102005228,-0.000249236
11.83086,0,0,0,4.44675528,0,-0.9001045,0.0029035,-0.3619625,0.001624762,0.146239517,0.000592956
15.70581,0,0,0,5.88497976,0,-1.2003635,-0.0012285,-0.4640345,0.005172402,0.198195971,0.000822276
19.62981,0,0,0,7.34521788,0,-1.4949185,-0.0023545,-0.5886285,0.004154057,0.245716411,0.002467036
23.62248,0,0,0,8.79811812,0,-1.7863335,-0.0039365,-0.6923035,6.70E-03,0.29750363,0.00460122
27.47781,0,0,0,10.26936306,0,-2.0712455,-0.0045965,-0.8210615,0.006431025,0.345359922,0.006768372
31.40181,0,0,0,11.75161482,0,-2.3607255,-0.0059295,-0.9339045,0.01174387,0.398301679,0.009084036
29.43,0,0,0,11.01415788,0,-2.2171305,-0.0092715,-0.8949335,0.011094616,0.371849594,0.007832604
25.52562,0,0,0,9.56492658,0,-1.9357655,-0.0100565,-0.7809505,0.005898897,0.321736773,0.006757764
21.69972,0,0,0,8.1267021,0,-1.6565605,-0.0083455,-0.6541205,0.005566799,0.273141831,0.00406302
17.66781,0,0,0,6.604092,0,-1.3692795,-0.0059315,-0.5269445,0.005118659,0.221134513,0.003592836
13.74381,0,0,0,5.15119176,0,-1.0679255,-0.0027125,-0.4138035,0.003510346,0.172133968,0.003401268
9.81,0,0,0,3.66160212,0,-0.7663675,0.0006385,-0.3068405,0.000955384,0.119903185,0.002870452
5.87619,0,0,0,2.20503294,0,-0.4631125,0.0011435,-0.1688905,0.002618284,0.074337643,0.002648828
2.02086,0,0,0,0.733788,0,-0.1701265,0.0026225,-0.0299695,0.004037654,0.029567037,0.0022087
1.97181,0,0,0,0,0.40605552,-0.145365,-0.0003505,0.0042175,-0.000144299,0.007646711,-0.011608064
3.919095,0,0,0,0,0.81721224,-0.306631,0.0054225,0.0377405,0.001555956,0.019296998,-0.024118016
5.939955,0,0,0,0,1.23142968,-0.463292,0.0046735,0.0602775,0.002620574,0.029565729,-0.036673832
7.833285,0,0,0,0,1.63544472,-0.59492,0.0082165,0.0775945,0.00089646,0.03545305,-0.04741828
9.81,0,0,0,0,2.04048,-0.730863,0.0123375,0.1063685,0.002099291,0.046544768,-0.056616144
11.816145,0,0,0,0,2.4536772,-0.864504,0.0161845,0.1179245,0.000944539,0.05425403,-0.066407432
13.72419,0,0,0,0,2.856672,-0.993228,0.0214175,0.1510925,0.003022923,0.06587047,-0.075517416
15.70581,0,0,0,0,3.264768,-1.127906,0.0241165,0.1721105,0.003323812,0.07563561,-0.085327528
14.700285,0,0,0,0,3.06174024,-1.059611,0.0210825,0.1578705,0.002373549,0.069593266,-0.08103472
12.777525,0,0,0,0,2.65364424,-0.930648,0.0146345,0.1230025,-1.01E-05,0.057308488,-0.07127068
10.874385,0,0,0,0,2.2598316,-0.800832,0.0095165,0.1066985,0.000335894,0.048626826,-0.062547576
8.83881,0,0,0,0,1.836432,-0.659349,0.0071725,0.0710775,-0.002279559,0.035939811,-0.05316272
6.87681,0,0,0,0,1.428336,-0.528778,0.0038995,0.0800565,0.0016003,0.031940442,-0.042366584
4.89519,0,0,0,0,1.02228048,-0.37984,0.0020915,0.0558545,0.000768007,0.02196661,-0.031132504
2.93319,0,0,0,0,0.612144,-0.22827,-0.0002885,0.0293175,-0.000341919,0.011490683,-0.01932892
0.981,0,0,0,0,0.204048,-0.078707,-0.0041195,-0.0045065,-0.002422592,-0.000228607,-0.00737048
0,3.924,3.93381,0,0,0,-0.011753,0.287724,-0.206959,-0.021556004,-0.013693075,-0.002301832
0,7.848,7.848,0,0,0,-0.015694,0.581004,-0.439053,-0.042542887,-0.028745827,-0.002789696
0,11.78181,11.79162,0,0,0,-0.017264,0.877266,-0.691671,-0.066405622,-0.047432363,-0.00316368
