H1,H2,H3,H4,H5,H6,R1,R2,R3,R4,R5,R6
1.94238,0,0,0,0,0,-0.150574,0.000387,0.002882,-0.002410603,0.006622792,-0.000492128
3.94362,0,0,0,0,0,-0.291421,0.005649,0.010176,-0.003626327,0.013593404,-0.000397592
5.84676,0,0,0,0,0,-0.427474,0.001056,0.009383,-0.005855216,0.019247349,-0.0025168
7.848,0,0,0,0,0,-0.571833,0.004863,0.033069,-0.004975566,0.030072031,-0.001471912
10.83024,0,0,0,0,0,-0.779869,-0.003105,0.058168,-0.0054707,0.04464438,-0.001650792
12.81186,0,0,0,0,0,-0.918853,-0.005073,0.07416,-0.005382494,0.05425992,-0.001156792
14.76405,0,0,0,0,0,-1.057011,0.007817,0.091069,-0.004216175,0.063948203,0.001649336
16.72605,0,0,0,0,0,-1.19142,-0.009247,0.1055,-0.005401413,0.073240046,-0.0003172
18.60957,0,0,0,0,0,-1.326215,0.010652,0.127983,-0.003763215,0.083497931,0.003247816
20.67948,0,0,0,0,0,-1.472868,0.015348,0.143592,-0.004028677,0.093237078,0.004011904
30.53853,0,0,0,0,0,-2.163429,0.028227,0.219514,-0.002907665,0.140172582,0.010136776
40.66245,0,0,0,0,0,-2.865554,-0.046185,0.281088,-0.005856541,0.186238536,0.004258384
0,1.97181,0,0.47520621,0,0,-0.0120995,0.1259675,0.007622,-0.011076601,0.002254098,-0.0035451
0,3.91419,0,0.94331979,0,0,-0.0122835,0.2687085,0.002505,-0.023623905,0.001230647,-0.004123548
0,5.90562,0,1.42325442,0,0,-0.0123645,0.4167565,-0.007665,-0.03711159,-0.000767261,-0.004461236
0,7.85781,0,1.89373221,0,0,-0.0135755,0.5597795,-0.003477,-0.048639825,0.000141559,-0.005001724
0,10.33974,0,2.49187734,0,0,-0.0097095,0.7528065,-0.020718,-0.065916151,-0.00305745,-0.00476814
0,11.83086,0,2.85123726,0,0,-0.0092585,0.8544725,-0.00709,-0.073602605,-0.000586058,-0.00511498
0,13.76343,0,3.31698663,0,0,-0.0121045,1.0032665,-0.024444,-0.08729743,-0.003727284,-0.00548834
0,15.73524,0,3.79219284,0,0,-0.0131595,1.1484745,-0.026032,-0.09973532,-0.004006662,-0.00600366
0,17.69724,0,4.26503484,0,0,-0.0141005,1.2938695,-0.029645,-0.112254547,-0.004623575,-0.006255028
0,20.21841,0,4.87263681,0,0,0.0110355,1.5299865,-0.010443,-0.127635167,-0.003654541,0.000688636
0,25.13322,0,6.05710602,0,0,0.0020355,1.8860635,-0.010269,-0.158065393,-0.003359081,-0.001408004
0,30.06765,0,7.24630365,0,0,0.0045455,2.2517065,-0.01161,-0.189013649,-0.003761318,-0.002909764
0,0,1.97181,0,0,0,0.0178345,-0.0062275,-0.1261605,-0.002357824,-0.008755621,-0.003671876
0,0,3.93381,0,0,0,0.0180885,-0.0027525,-0.2515165,-0.00386323,-0.018002771,-0.0033553
0,0,5.886,0,0,0,-0.0055795,0.0052755,-0.3577935,-0.002474106,-0.0236627,0.000682188
0,0,7.88724,0,0,0,-0.0161325,0.0091225,-0.4804685,-0.002122969,-0.031699399,0.002332356
0,0,9.84924,0,0,0,-0.0130805,0.0060865,-0.6022985,-0.003380748,-0.039680185,0.00136474
0,0,11.79162,0,0,0,-0.0090255,-0.0023135,-0.7159405,-0.003667779,-0.046191151,-0.000795444
0,0,13.77324,0,0,0,-0.0247395,0.0081115,-0.8182915,-0.003444372,-0.050216326,0.003201484
0,0,15.75486,0,0,0,-0.0183165,0.0011245,-0.9678135,-0.006571709,-0.063392346,0.001010724
0,0,17.54028,0,0,0,-0.0219415,0.0079935,-1.0592395,-0.005087269,-0.06719817,0.0025883
0,0,21.64086,0,0,0,-0.0162075,-0.0001575,-1.3232365,-0.009828462,-0.084627879,7.69E-05
0,0,41.33934,0,0,0,-0.0238485,0.0063885,-2.5545205,-0.024574047,-0.163645851,-0.00012246
0,0,1.962,0.472842,0,0,-0.016773,-0.00047,-0.110312,-0.020200982,-0.006674778,0.001931176
0,0,4.0221,0.9693261,0,0,-0.003805,0.005014,-0.260602,-0.044945536,-0.019446878,0.001532856
