X (m),Y (m),Z (m),CdX
-0.764814254,0.007171382,1.278746343,0.000141228
-0.749017315,0.007169949,1.278043339,0.000148635
-0.764787879,0.022136008,1.278643613,0.000151216
-0.717722857,0.007168751,1.27775628,-3.19E-05
-0.733314238,0.007172472,1.277705694,4.46E-07
-0.749011582,0.02214375,1.277996309,0.000134193
-0.764784176,0.037721679,1.278582675,0.000135041
-0.702147167,0.007157471,1.278075268,-0.000206611
-0.717679311,0.022141995,1.277707049,-4.83E-05
-0.733285665,0.022151336,1.277676106,2.21E-05
-0.748985744,0.037729464,1.277974304,0.000136331
-0.764817112,0.053301927,1.278547925,0.000140958
-0.702120413,0.022114031,1.278093722,-0.000267804
-0.717641257,0.037734134,1.277642364,-7.62E-05
-0.733240458,0.03774116,1.27761251,4.56E-05
-0.74900382,0.053312896,1.277945436,0.000136061
-0.764836159,0.068876527,1.278506535,0.000180444
-0.702082008,0.037699906,1.278022787,-0.000235904
-0.686572993,0.05327008,1.277883537,0.000299228
-0.717670098,0.053310352,1.277533689,-0.000112902
-0.733257277,0.053324591,1.277519131,8.62E-05
-0.749031622,0.068898417,1.27783344,0.000136491
-0.764856498,0.08447546,1.27843333,0.000176785
-0.702113516,0.053280277,1.27791594,-0.000194555
-0.68660323,0.068843246,1.277945784,0.00015907
-0.717765708,0.068885545,1.277468632,-0.000135183
-0.733341307,0.068908574,1.27741248,8.14E-05
-0.749057667,0.084483969,1.277702129,0.000180382
-0.764892233,0.100069782,1.278129746,0.000148431
-0.70222357,0.068864009,1.277872897,-0.000188863
-0.686658769,0.084451701,1.277887095,0.000121978
-0.717877464,0.084458396,1.277405961,-0.000137772
-0.73342504,0.08446669,1.277276477,3.78E-05
-0.749116703,0.100074662,1.277461505,0.000178782
-0.76489656,0.115644673,1.277676205,0.000121503
-0.702329335,0.084443547,1.277796282,-0.000180479
-0.686775621,0.099990949,1.277558505,0.000318026
-0.717973458,0.100038712,1.277250021,-0.000145255
-0.733504713,0.1000406,1.277081053,1.99E-05
-0.749192743,0.115631185,1.277133921,0.00013755
-0.764940279,0.131214338,1.277303247,8.82E-05
-0.702417726,0.100012584,1.277632535,-0.000168779
-0.686846639,0.115555223,1.277190984,0.000403121
-0.718036183,0.115605825,1.276895378,-0.000152345
-0.733582934,0.115614914,1.276775652,5.66E-05
-0.749285751,0.131179187,1.276869455,0.000123822
-0.765010199,0.146768031,1.27694394,7.90E-05
-0.70245519,0.115597397,1.277309047,-0.000187836
-0.686956489,0.13110785,1.27647413,0.0003321
-0.718067533,0.131148601,1.276448095,-0.000135352
-0.733641229,0.131160379,1.276451022,0.000121651
-0.749363214,0.146739524,1.276564025,0.000114503
-0.765060497,0.162319444,1.27656088,8.01E-05
-0.702500488,0.131156329,1.276695424,-5.32E-05
-0.687126522,0.146598498,1.275396459,0.000265382
-0.678040492,0.669498402,1.024874871,6.28E-05
-0.678220515,0.671969276,1.020016451,6.07E-05
-0.682225026,0.672346593,1.020686563,5.73E-05
-0.68282076,0.671014073,1.02357028,3.95E-05
-0.681441471,0.669978555,1.025144582,3.29E-05
-0.679298846,0.668393709,1.02751099,1.24E-05
-0.718115848,0.14669467,1.27596849,-1.34E-05
-0.733709115,0.146712745,1.27615895,0.000137813
-0.749421503,0.162291564,1.276206934,0.000104953
-0.765112768,0.177874965,1.276154198,5.41E-05
-0.702600984,0.146664187,1.275812832,0.000169841
-0.687238192,0.162088255,1.27425692,0.00025431
-0.677424879,0.670714853,1.022242518,1.67E-05
-0.674951436,0.671700918,1.019379186,2.30E-05
-0.674828429,0.669303429,1.024093862,2.18E-05
-0.676571726,0.668279071,1.026749863,5.37E-06
-0.674416466,0.67274714,1.017086091,5.19E-05
-0.677723124,0.673015777,1.017743177,1.16E-05
-0.682974821,0.673476681,1.018677055,1.87E-05
-0.685604567,0.672694417,1.021187445,1.51E-05
-0.686220044,0.671472149,1.023855323,7.16E-05
-0.685561432,0.669005399,1.028550686,3.48E-05
-0.775911877,0.71134651,0.960037753,0.000102719
-0.682142289,0.668540424,1.028244624,6.32E-05
-0.67475564,0.666814954,1.028975723,3.30E-05
-0.677516922,0.666948444,1.029723399,5.66E-05
-0.71818454,0.16223865,1.2754641,0.000178742
-0.733782356,0.162266221,1.275855215,0.000123901
-0.749482826,0.177841684,1.275881298,9.50E-05
-0.765134557,0.193417233,1.275577139,2.89E-05
-0.702691821,0.162187532,1.2748764,0.000357298
-0.687140991,0.177650872,1.273479101,0.000386383
-0.674229688,0.670455996,1.021592902,5.31E-05
-0.67411568,0.668112428,1.026175846,4.89E-05
-0.670954732,0.672526629,1.016264354,4.26E-05
-0.675164893,0.673893217,1.015046247,2.40E-05
-0.67841699,0.674127041,1.01573445,5.79E-05
-0.682347128,0.674716907,1.015918829,7.03E-05
-0.686247895,0.673698763,1.019368381,4.98E-05
-0.686891826,0.669962236,1.027117655,3.11E-05
-0.690130477,0.67218328,1.023797899,6.44E-05
-0.686502221,0.66754134,1.031783502,6.33E-05
-0.777214642,0.708564802,0.966670948,0.000217883
-0.76941182,0.711182335,0.958933604,0.000217768
-0.680753333,0.667335979,1.03011849,8.61E-06
-0.683478598,0.667453641,1.030871242,8.57E-06
-0.684799314,0.666394092,1.033432052,1.02E-05
-0.673361254,0.665701757,1.030796894,3.34E-05
-0.678837134,0.665797588,1.032459009,3.11E-05
-0.718239879,0.177781601,1.275131798,0.000224592
-0.733845225,0.177810966,1.275559148,0.000123642
-0.749518596,0.193384759,1.275409468,6.43E-05
-0.765127041,0.208940838,1.274858424,2.81E-05
-0.702748276,0.177735972,1.274369746,0.000493328
-0.687060141,0.193195371,1.273177577,0.000589925
-0.669687219,0.67362071,1.013600224,4.23E-05
-0.671188549,0.674772844,1.011827238,3.51E-05
-0.669931176,0.681607271,0.997260007,0.000125872
-0.670856743,0.67019088,1.020907109,3.77E-05
-0.670745323,0.667924908,1.025445011,2.98E-05
-0.670545659,0.665646984,1.030145827,2.15E-05
-0.669422022,0.671252508,1.018275752,4.05E-05
-0.669250576,0.664756929,1.031840257,1.09E-05
-0.674528949,0.675208477,1.012144564,6.66E-05
-0.678433307,0.675915079,1.012092482,6.21E-05
-0.681693004,0.676186341,1.012684564,3.10E-05
-0.686252821,0.675412618,1.015849148,6.57E-05
-0.690115437,0.674099583,1.019888405,6.61E-05
-0.693343823,0.67622022,1.016615133,3.05E-05
-0.676452366,0.682096024,0.99848971,0.000248871
-0.684099135,0.686816865,0.990901496,0.000241603
-0.694009618,0.674763635,1.019850532,7.02E-05
-0.690164805,0.670261535,1.02767013,6.55E-05
-0.693398876,0.672465945,1.024371917,3.14E-05
-0.687658925,0.666212562,1.034817308,1.67E-05
-0.690204412,0.668344888,1.031515571,6.30E-05
-0.777205617,0.705021645,0.974758402,0.00020309
-0.761687754,0.710420243,0.958848423,0.0002241
-0.76939696,0.707640936,0.967054531,0.00023142
-0.770700002,0.704857008,0.973712632,0.000100634
-0.685683965,0.665286033,1.035916797,5.45E-05
-0.682063548,0.66620671,1.032811842,6.07E-05
-0.67462882,0.664595271,1.033435523,2.75E-05
-0.67744391,0.664683393,1.034141928,3.82E-05
