X (m),Y (m),Z (m),CdX
0,0.00310262,0.179410208,0.000288059
-4.24175E-05,0.003102869,0.181182935,4.78E-05
-0.000118358,0.006978339,0.181462946,3.76E-06
-0.000135793,0.010087025,0.179788697,0.000403533
-0.000213204,0.010085853,0.175487001,0.000603967
-0.000221437,0.003102363,0.175226898,0.000496403
-0.000258653,0.01785293,0.175493925,0.000583765
-0.000296215,0.017860766,0.18008662,0.000496438
-0.000297334,0.010087689,0.181994526,9.07E-05
-0.000314645,0.025636008,0.17552648,0.000581986
-0.000351469,0.02565356,0.180090893,0.000495178
-0.000388117,0.033444369,0.180085102,0.000490468
-0.000394115,0.033423182,0.175548278,0.000579387
-0.00040513,0.003102823,0.181910221,8.81E-05
-0.000475694,0.041177124,0.175580643,0.000580475
-0.000516466,0.010170084,0.389240429,0.000591463
-0.00053208,0.041194758,0.180101481,0.000475811
-0.000548135,0.00315695,0.389824957,0.000491998
-0.000551484,0.017861485,0.38890163,0.000592129
-0.000594031,0.025543301,0.388883423,0.000578044
-0.000610886,0.048918837,0.175484897,0.000588833
-0.00068243,0.00311862,0.396093511,0.000536246
-0.000685726,0.010005491,0.395566058,0.000694716
-0.000690165,0.033186143,0.389326097,0.000532223
-0.000727366,0.048941422,0.180142156,0.000504724
-0.000728647,0.017818863,0.395358326,0.000724567
-0.000763079,0.056701921,0.175408363,0.000574817
-0.000793145,0.025570619,0.395206311,0.000691698
-0.000801989,0.002852042,0.384138812,0.000315375
-0.0008182,0.040947629,0.389388826,0.000546892
-0.000891111,0.033289102,0.395317603,0.000678472
-0.000906514,0.064489424,0.175534436,0.00056026
-0.000908168,0.056766131,0.180071458,0.000531471
-0.000916101,0.03412361,0.385325379,0.000218536
-0.000926125,0.008305083,0.401056337,0.000227456
-0.000938412,0.003114297,0.401579782,0.000349553
-0.000948841,0.01008413,0.169853094,0.000708104
-0.000951409,0.048830283,0.389258385,0.000551676
-0.000969579,0.003102753,0.169531262,0.000564547
-0.000983802,0.017847927,0.169986388,0.000701066
-0.001011438,0.01902726,0.401225578,0.000367338
-0.001012877,0.041100655,0.39533662,0.000686315
-0.001023183,0.010000061,0.40267094,0.000453074
-0.001035039,0.025096545,0.383913128,0.000429545
-0.001045069,0.017968543,0.383661968,0.000428195
-0.001053425,0.017854755,0.183035638,0.000191215
-0.001055564,0.024226435,0.401085877,0.00034765
-0.001061695,0.025628183,0.170010358,0.00070823
-0.001087225,0.010343492,0.383831132,0.000582678
-0.001106113,0.064552727,0.180081271,0.000502253
-0.00111144,0.010086161,0.183129042,0.000197394
-0.001117801,0.016447498,0.403639067,0.000340386
-0.001124347,0.056665068,0.389426757,0.000580408
-0.001125437,0.003118592,0.405021704,0.000202699
-0.001133005,0.031293216,0.383730211,0.000216745
-0.001145697,0.033412705,0.170022151,0.000711512
-0.00114588,0.025686599,0.183026732,0.00019636
-0.001157276,0.048897823,0.39531446,0.000695694
-0.001158572,0.033479752,0.182986286,0.000195188
-0.001160531,0.040582733,0.384540343,0.000502466
-0.001167014,0.072241206,0.175393696,0.000566953
-0.001219337,0.026803273,0.403512281,0.000382458
-0.001246102,0.033341296,0.402347231,0.000750907
-0.001247642,0.041176672,0.170032778,0.000709543
-0.00127932,0.04120915,0.18294343,0.000193451
-0.001282415,0.00310224,0.183338369,0.000159867
-0.001310155,0.048742144,0.384241268,0.000525607
-0.001316617,0.064465369,0.389362869,0.000573493
-0.001326167,0.005201011,0.383153293,8.81E-05
-0.001328436,0.072252405,0.180157503,0.000544434
-0.001331728,0.056679537,0.395508993,0.000675787
-0.00133876,0.047695316,0.182802307,9.91E-05
-0.001369462,0.041144219,0.402372488,0.000742024
-0.001390903,0.048929042,0.169973147,0.000696571
-0.001393236,0.003369817,0.382126376,4.63E-05
-0.001434002,0.003110757,0.409911162,0.000576976
-0.001448835,0.000496872,0.381289527,1.45E-05
-0.001450458,0.010108911,0.409800746,0.000745689
-0.001461964,0.079991223,0.175315175,0.000576069
-0.001488184,0.056751698,0.384228132,0.000517058
-0.001497085,0.017820237,0.409786329,0.00075063
-0.001512724,0.048915451,0.402396163,0.000742637
-0.001518021,0.06445594,0.395442666,0.000678581
-0.001518479,0.072227911,0.389237692,0.000545831
-0.0015586,0.05670263,0.16994329,0.000706994
-0.001584014,0.02557041,0.409793678,0.000769411
-0.001590697,0.079993374,0.180173303,0.00056284
-0.001612204,0.064492659,0.384325881,0.000473336
-0.001680395,0.056684354,0.402452339,0.00073773
-0.001700488,0.033378694,0.409821685,0.000753257
-0.001723958,0.072221644,0.395249575,0.000694586
-0.001727222,0.087781803,0.175461929,0.000580751
-0.001730133,0.064484959,0.170044949,0.000722626
-0.001762052,0.080016978,0.389306733,0.000562591
-0.001798092,0.072221652,0.384355301,0.000483018
-0.001823385,0.04114633,0.409828388,0.000756824
-0.001862717,0.087814632,0.18016098,0.000527918
-0.001872127,0.064450421,0.402413582,0.000743374
-0.001947885,0.003103502,0.417124452,0.000566334
-0.00195739,0.072249893,0.169945247,0.000700713
-0.001968072,0.048924133,0.409856665,0.000762553
-0.001968979,0.095646838,0.175401281,0.000593347
-0.001969267,0.080005807,0.395340411,0.00069342
-0.001983606,0.010087924,0.417286469,0.000736008
-0.002033647,0.08793081,0.389236932,0.000579604
-0.002040484,0.017852661,0.417401295,0.00074749
-0.002066582,0.080075848,0.384240107,0.000514615
-0.002089378,0.072226027,0.402350179,0.000758906
-0.002124759,0.02562028,0.41742934,0.000754924
-0.002134424,0.095637826,0.180124961,0.000518976
-0.002137831,0.056698801,0.4098843,0.000763326
-0.002207885,0.080005724,0.169827638,0.000699923
-0.002229977,0.087787977,0.395301237,0.000694039
-0.002231376,0.103457206,0.175394584,0.000586732
-0.002234703,0.033386374,0.41740221,0.000754974
-0.002252989,0.010087802,0.16333042,0.000808388
-0.002259263,0.003103565,0.163271363,0.000600711
-0.00228292,0.094348212,0.390063543,0.000261892
-0.002288861,0.015946483,0.184881908,0.000117723
-0.002288916,0.088094872,0.384291406,0.000502825
-0.002296433,0.017852951,0.163378318,0.000837413
-0.002314236,0.019816297,0.18485235,0.000118308
-0.002331491,0.08001062,0.402392246,0.000757402
-0.002331765,0.064463,0.409866362,0.000765819
-0.002333625,0.012039232,0.184966218,0.000118616
-0.002352259,0.097013361,0.388128819,0.000302413
-0.002359106,0.103434773,0.180146069,0.000515775
-0.002359204,0.041154464,0.417398408,0.000754201
-0.002372444,0.025629036,0.163425956,0.000827817
-0.002383149,0.023719373,0.184880672,0.000120798
-0.00242918,0.008130639,0.185047748,0.000114489
-0.002448714,0.087780274,0.169924266,0.000712285
-0.002455874,0.033407772,0.163452032,0.000819717
-0.00245651,0.027651859,0.184923758,0.000121364
-0.002458368,0.039330745,0.184789766,0.000116677
-0.002459277,0.056834779,0.184123952,0.00043005
-0.002468421,0.049017188,0.18449227,0.000313768
-0.002483502,0.031560778,0.184926446,0.000121317
-0.002486007,0.035444315,0.184854197,0.000119628
-0.002489811,0.004283309,0.185133613,0.000117861
-0.002505891,0.048933195,0.41738726,0.000747416
-0.002509162,0.111170721,0.175623552,0.000583486
-0.002513194,0.095581514,0.395189696,0.000699325
-0.002519433,0.003107182,0.42407034,0.000527194
-0.002550628,0.017957885,0.38022533,0.000190303
-0.002552299,0.072235601,0.409852427,0.00076814
-0.002558175,0.041175457,0.163506959,0.000807434
-0.002558229,0.043212846,0.184820926,0.000115388
-0.002570495,0.001186366,0.185213815,7.29E-05
-0.002584669,0.010094937,0.42449404,0.000679942
-0.002584856,0.08778117,0.402369924,0.000756899
-0.002599921,0.111210485,0.180243106,0.000480846
-0.00262447,0.103426649,0.388952345,0.000632326
-0.002626876,0.095936198,0.384033147,0.000451076
-0.002660501,0.017858714,0.424751495,0.000699782
-0.002675377,0.056707379,0.417390131,0.000741639
-0.002690317,0.048935003,0.163503989,0.000807763
-0.002721102,0.010395856,0.380249813,0.000288762
-0.002727904,0.024627606,0.380412572,0.000293624
-0.002731188,0.095618204,0.169895993,0.000704236
-0.002741456,0.064629987,0.184164741,0.000441011
-0.002743169,0.025623925,0.424850882,0.000707915
-0.002766047,0.00235432,0.380276846,0.000132465
-0.002794874,0.080003391,0.409861731,0.000763801
-0.002837354,0.033388197,0.424804795,0.00070737
-0.002837595,0.103405867,0.395238606,0.000702359
-0.002855695,0.056702307,0.163487663,0.000799624
-0.00285836,0.11889092,0.175745378,0.000576775
-0.002869287,0.064468558,0.417397646,0.000748102
-0.002871326,0.095634722,0.402290167,0.00078636
-0.002883128,0.072325359,0.184302817,0.000414466
-0.002914978,0.118952435,0.180289707,0.000468774
-0.002957844,0.041156683,0.424760866,0.000705058
-0.002964299,0.111229686,0.388901182,0.00058407
