X,Y,Z,Cp,Normal
-4.436902,0.04425,0.296158,0.620284,0.998843
-4.431246,0.13275,0.296151,0.606379,0.994898
-4.430737,0.04425,0.400962,0.363032,0.874564
-4.424415,0.13275,0.401973,0.381186,0.873228
-4.419725,0.22125,0.297619,0.593265,0.986465
-4.413059,0.22125,0.401908,0.408639,0.86534
-4.401794,0.30975,0.296231,0.58887,0.972249
-4.396359,0.30975,0.401312,0.454134,0.851907
-4.377482,0.39825,0.297209,0.59501,0.952757
-4.369972,0.39825,0.402981,0.511981,0.839328
-4.35556,0.04425,0.514223,0.26829,0.84162
-4.351466,0.48675,0.291665,0.567234,0.869781
-4.347811,0.13275,0.514234,0.281965,0.843373
-4.334071,0.22125,0.512256,0.313224,0.817809
-4.331967,0.48675,0.404631,0.564476,0.803369
-4.306343,0.30975,0.513343,0.336301,0.763986
-4.296163,0.57525,0.29322,0.545253,0.819243
-4.282255,0.57525,0.402462,0.599832,0.831295
-4.275414,0.39825,0.512294,0.317879,0.660059
-4.258259,0.04425,0.623435,-0.036121,0.587545
-4.250706,0.13275,0.623394,-0.071493,0.587681
-4.238324,0.48675,0.512461,0.332775,0.61331
-4.235363,0.22125,0.623564,-0.064059,0.580926
-4.233773,0.66375,0.290161,0.496335,0.759908
-4.214703,0.66375,0.410827,0.488913,0.750945
-4.20221,0.30975,0.623034,-0.028951,0.572149
-4.192184,0.57525,0.511837,0.320123,0.597995
-4.156511,0.39825,0.623794,-0.037135,0.539756
-4.137264,0.75225,0.29287,0.059582,0.615359
-4.134765,0.66375,0.511608,0.241909,0.573558
-4.133507,0.48675,0.623633,0.041734,0.659488
-4.129327,0.75225,0.401401,0.077862,0.621618
-4.092049,0.57525,0.623389,0.223455,0.695108
-4.052698,0.75225,0.513946,-0.011561,0.487443
-4.016277,0.13275,0.733552,-0.039621,0.348071
-4.016218,0.04425,0.736379,-0.037876,0.343927
-4.014716,0.66375,0.623869,0.088448,0.593249
-4.000722,0.22125,0.733875,-0.047515,0.356431
-3.972593,0.30975,0.735196,-0.060538,0.351956
-3.9716,0.57525,0.736916,-0.078953,0.574497
-3.934099,0.39825,0.735787,-0.077507,0.370965
-3.909116,0.66375,0.735368,-0.203095,0.448514
