X,Y,Z,Cp,Normal
-4.438431,0.04425,0.296144,1.05327,0.998484
-4.432676,0.13275,0.294232,1.036088,0.993928
-4.431746,0.04425,0.401905,0.678152,0.876209
-4.425926,0.13275,0.402022,0.66323,0.87268
-4.421077,0.22125,0.294265,1.001165,0.985809
-4.415325,0.22125,0.400581,0.632507,0.868642
-4.403321,0.30975,0.296235,0.941154,0.97229
-4.397642,0.30975,0.40176,0.576395,0.852133
-4.378954,0.39825,0.296194,0.867361,0.953149
-4.370764,0.39825,0.404162,0.529374,0.842817
-4.357502,0.04425,0.513533,0.446393,0.849205
-4.352992,0.48675,0.291698,0.582257,0.871564
-4.349805,0.13275,0.513532,0.428697,0.841899
-4.334567,0.22125,0.513853,0.409852,0.815907
-4.333369,0.48675,0.405036,0.4589,0.840591
-4.307029,0.30975,0.514344,0.36508,0.736644
-4.2977,0.57525,0.292732,0.461891,0.825353
-4.283661,0.57525,0.403586,0.371213,0.81696
-4.276219,0.39825,0.513032,0.301044,0.65652
-4.257468,0.04425,0.6254,-0.222917,0.609292
-4.251046,0.13275,0.624238,-0.23702,0.590622
-4.24127,0.48675,0.511271,0.260165,0.618672
-4.235676,0.22125,0.624377,-0.228457,0.565023
-4.234658,0.66375,0.29194,0.228053,0.76
-4.217029,0.66375,0.406963,0.158771,0.763693
-4.203265,0.30975,0.623326,-0.168454,0.568107
-4.194016,0.57525,0.511648,0.161912,0.600895
-4.159842,0.39825,0.622478,-0.128429,0.548882
-4.138829,0.75225,0.293006,-0.281497,0.61945
-4.136159,0.66375,0.511862,-0.018089,0.572893
-4.134504,0.48675,0.624107,0.029218,0.661118
-4.130928,0.75225,0.400963,-0.294652,0.643292
-4.09293,0.57525,0.62412,0.059245,0.691762
-4.057167,0.75225,0.511565,-0.353845,0.500012
-4.024296,0.04425,0.73404,-0.10682,0.342157
-4.017265,0.66375,0.622417,-0.311942,0.592109
-4.008731,0.13275,0.736946,-0.103059,0.346089
-3.993004,0.22125,0.737265,-0.10151,0.349207
-3.977555,0.57525,0.73367,-0.249344,0.587537
-3.977302,0.30975,0.734326,-0.128061,0.359437
-3.941846,0.39825,0.733358,-0.174779,0.368849
-3.909717,0.66375,0.736108,-0.541913,0.432605
-3.887682,0.48675,0.734774,-0.264462,0.37826
-3.86216,0.75225,0.622294,-0.39288,0.34995
-3.585828,0.04425,0.844525,0.124884,0.115907
-3.584407,0.13275,0.84436,0.08764,0.111659
-3.579309,0.22125,0.844721,0.074589,0.113557
-3.575117,0.30975,0.844462,0.040169,0.130636
-3.56451,0.39825,0.844394,0.018248,0.15817
-3.554664,0.75225,0.733561,-0.224716,0.183667
-3.545332,0.48675,0.844426,0.029013,0.185097
-3.541288,0.57525,0.844548,-0.064052,0.152024
-3.467595,0.66375,0.84514,-0.080508,0.355084
-3.221111,0.75225,0.844513,-0.520448,0.155166
-3.220739,0.04425,0.95874,0.296183,0.521584
-3.209826,0.13275,0.963342,0.276262,0.521023
-3.208867,0.22125,0.959856,0.27519,0.524327
-3.193922,0.30975,0.962418,0.241188,0.524198
-3.178498,0.39825,0.963181,0.199131,0.521594
-3.162537,0.48675,0.962005,0.152451,0.518517
-3.143124,0.57525,0.95943,0.041319,0.51408
-3.115804,0.66375,0.956298,0.146109,0.494169
-3.023205,0.04425,1.072838,-0.035699,0.478544
-3.022854,0.13275,1.071307,-0.042156,0.47463
-3.02206,0.22125,1.068094,-0.052107,0.482043
-3.006986,0.30975,1.069942,-0.077671,0.475225
-2.991517,0.39825,1.070076,-0.124648,0.465198
-2.975569,0.48675,1.067996,-0.171582,0.456306
-2.948788,0.57525,1.067155,-0.267318,0.439668
