X,Y,Z,Cp,Normal
-4.436891,0.04425,0.296143,0.637557,0.998777
-4.431129,0.13275,0.294221,0.637002,0.994418
-4.430159,0.04425,0.402031,0.379824,0.872991
-4.424902,0.13275,0.401125,0.395478,0.872384
-4.419546,0.22125,0.294275,0.636412,0.985974
-4.413387,0.22125,0.401294,0.422832,0.870323
-4.401674,0.30975,0.294303,0.637567,0.971422
-4.396145,0.30975,0.401686,0.457632,0.853451
-4.37743,0.39825,0.296324,0.640691,0.953048
-4.370746,0.39825,0.401623,0.501886,0.839869
-4.355603,0.04425,0.514121,0.266788,0.842255
-4.351465,0.48675,0.291693,0.582745,0.871663
-4.347894,0.13275,0.514114,0.282072,0.841585
-4.334405,0.22125,0.511755,0.312148,0.81808
-4.332328,0.48675,0.403913,0.562505,0.856498
-4.307146,0.30975,0.512407,0.322343,0.761172
-4.296278,0.57525,0.292497,0.542453,0.826324
-4.281433,0.57525,0.406045,0.547923,0.817426
-4.272404,0.39825,0.515156,0.305252,0.679721
-4.259042,0.04425,0.623247,-0.117844,0.568864
-4.251079,0.13275,0.623182,-0.100591,0.612701
-4.239086,0.48675,0.511809,0.298663,0.617806
-4.235616,0.22125,0.623421,-0.109526,0.572906
-4.233828,0.66375,0.290089,0.456498,0.764177
-4.216258,0.66375,0.404969,0.433811,0.755445
-4.198775,0.30975,0.625295,-0.055786,0.575154
-4.192558,0.57525,0.511592,0.277278,0.601578
-4.157723,0.39825,0.622922,-0.061491,0.545961
-4.137465,0.75225,0.292899,-0.00344,0.614838
-4.134931,0.48675,0.622329,0.03743,0.66103
-4.13235,0.66375,0.513687,0.185972,0.567851
-4.129522,0.75225,0.401095,0.027179,0.626483
-4.092759,0.57525,0.6224,0.185796,0.678934
-4.053433,0.75225,0.513299,-0.059632,0.492096
-4.018498,0.04425,0.735382,-0.063951,0.343875
-4.015226,0.66375,0.623142,0.028621,0.5985
-4.002485,0.13275,0.738703,-0.068664,0.344111
-3.986845,0.22125,0.739011,-0.072276,0.349655
-3.974332,0.30975,0.734599,-0.091902,0.354322
-3.97231,0.57525,0.736428,-0.102103,0.577508
-3.935921,0.39825,0.73532,-0.113026,0.383216
-3.910677,0.66375,0.73444,-0.264978,0.42617
-3.889265,0.48675,0.733456,-0.167595,0.376084
-3.858019,0.75225,0.623451,-0.206018,0.344164
-3.582476,0.04425,0.844732,0.037755,0.116884
-3.581766,0.13275,0.844531,-0.003976,0.106608
-3.580091,0.22125,0.844453,-0.01733,0.112513
-3.573315,0.30975,0.844534,-0.034858,0.124983
-3.56239,0.39825,0.844465,-0.050939,0.149457
-3.551676,0.75225,0.734069,-0.222709,0.196031
-3.543335,0.48675,0.844522,-0.041064,0.181047
-3.539132,0.57525,0.844647,-0.092344,0.150036
-3.467527,0.66375,0.844482,-0.043669,0.356013
-3.218684,0.75225,0.844953,-0.330797,0.148431
-3.218374,0.04425,0.959248,0.098406,0.521679
-3.215217,0.13275,0.959096,0.100614,0.522124
-3.203483,0.22125,0.962223,0.096094,0.520965
-3.198018,0.30975,0.958994,0.100445,0.527049
-3.188258,0.39825,0.956309,0.103789,0.524865
-3.170835,0.48675,0.955907,0.086353,0.519911
-3.147788,0.57525,0.955658,0.045152,0.51534
-3.113631,0.66375,0.956655,0.079661,0.494195
-3.031486,0.04425,1.067629,-0.052623,0.483021
-3.02808,0.13275,1.067666,-0.055612,0.477502
-3.01659,0.22125,1.070167,-0.068588,0.47397
-3.001496,0.30975,1.072167,-0.077726,0.476404
-2.986009,0.39825,1.072233,-0.097421,0.464413
-2.970113,0.48675,1.070031,-0.116503,0.453516
-2.9426,0.57525,1.069521,-0.164612,0.437408
-2.933345,0.66375,1.06696,-0.299216,0.410483
-2.814171,0.04425,1.17794,-0.211529,0.422046
-2.798882,0.22125,1.178767,-0.22186,0.412815
-2.798715,0.13275,1.182955,-0.223485,0.41312
-2.78339,0.30975,1.17881,-0.225518,0.400316
-2.752194,0.39825,1.183177,-0.236774,0.399056
-2.732662,0.48675,1.179598,-0.26094,0.375466
-2.696117,0.57525,1.177644,-0.275842,0.354045
-0.769696,0.66375,1.066702,-0.268859,-0.119524
-0.671245,0.57525,1.178953,-0.128433,-0.500272
-0.622861,0.57525,1.06712,-0.113078,-0.680912
-0.607698,0.48675,1.207074,-0.116483,-0.671748
-0.57326,0.48675,1.069952,-0.114491,-0.706364
-0.572621,0.75225,0.845537,-0.273425,-0.279831
-0.54021,0.39825,1.211541,-0.117386,-0.842008
-0.531953,0.57525,0.955352,-0.114744,-0.717455
-0.52773,0.39825,1.0684,-0.115793,-0.731895
-0.513601,0.66375,0.956459,-0.120274,-0.670189
-0.490835,0.30975,1.06772,-0.116536,-0.753714
-0.490707,0.30975,1.21526,-0.116624,-0.894309
-0.484199,0.48675,0.957255,-0.116667,-0.739962
-0.468159,0.22125,1.074028,-0.115483,-0.7768
-0.455779,0.22125,1.217687,-0.118985,-0.952674
-0.443432,0.13275,1.066824,-0.115043,-0.78971
-0.442672,0.39825,0.958192,-0.118796,-0.762084
-0.438298,0.04425,1.073121,-0.114142,-0.790914
-0.432902,0.13275,1.218219,-0.118144,-0.959844
-0.421596,0.04425,1.21809,-0.120371,-0.970431
-0.407252,0.30975,0.956975,-0.11997,-0.782813
-0.403378,0.57525,0.845602,-0.117422,-0.598963
-0.392207,0.66375,0.844874,-0.122028,-0.596847
-0.381082,0.22125,0.957489,-0.119225,-0.802224
-0.378283,0.75225,0.735609,-0.239483,-0.458336
-0.364699,0.48675,0.844296,-0.121013,-0.607457
-0.362406,0.13275,0.956087,-0.117825,-0.814456
-0.353589,0.04425,0.95698,-0.116817,-0.823818
-0.335738,0.39825,0.846572,-0.123634,-0.626271
-0.30869,0.30975,0.846247,-0.1251,-0.653036
-0.293898,0.57525,0.7373,-0.118959,-0.69958
-0.286425,0.22125,0.845053,-0.12526,-0.673534
-0.279312,0.66375,0.73423,-0.140895,-0.69961
-0.273028,0.13275,0.8457,-0.126447,-0.627046
-0.268044,0.04425,0.846833,-0.126515,-0.589326
-0.252433,0.75225,0.62606,-0.218937,-0.707811
-0.252387,0.48675,0.735336,-0.124459,-0.74073
-0.227586,0.39825,0.737479,-0.123988,-0.76402
-0.205617,0.30975,0.735888,-0.120605,-0.778987
-0.200453,0.75225,0.513947,-0.150447,-0.868794
-0.19465,0.66375,0.622977,-0.162039,-0.764447
-0.190149,0.22125,0.736677,-0.115006,-0.803007
-0.183071,0.75225,0.401922,-0.163236,-0.891714
-0.182142,0.75225,0.294738,-0.185038,-0.889833
-0.18114,0.48675,0.622501,-0.118952,-0.871659
-0.179544,0.13275,0.738102,-0.111561,-0.805285
-0.173205,0.04425,0.737888,-0.109155,-0.815357
-0.157589,0.39825,0.624714,-0.120855,-0.89876
-0.152404,0.66375,0.512902,-0.149689,-0.852833
-0.149444,0.57525,0.632481,-0.14556,-0.880543
-0.145878,0.39825,0.526032,-0.117115,-0.974278
-0.141999,0.30975,0.628424,-0.113298,-0.906109
-0.137294,0.66375,0.294586,-0.160363,-0.883637
-0.136388,0.66375,0.402132,-0.148399,-0.877857
-0.129144,0.22125,0.628418,-0.104726,-0.934428
-0.128564,0.30975,0.526768,-0.117563,-0.984705
-0.12007,0.13275,0.628875,-0.100207,-0.933129
-0.116184,0.22125,0.527133,-0.112697,-0.991559
-0.115305,0.04425,0.628709,-0.097244,-0.944127
-0.109605,0.57525,0.516803,-0.142842,-0.905459
-0.107842,0.13275,0.52676,-0.109237,-0.995048
-0.103546,0.04425,0.526608,-0.107298,-0.998006
-0.095181,0.57525,0.294895,-0.147764,-0.92008
-0.093514,0.57525,0.402089,-0.14194,-0.920658
-0.078562,0.48675,0.515239,-0.150192,-0.933041
-0.062595,0.48675,0.294929,-0.14273,-0.948178
-0.061022,0.48675,0.402145,-0.14118,-0.953939
-0.058022,0.30975,0.291202,-0.131358,-0.995575
-0.05491,0.22125,0.292397,-0.131051,-0.996262
-0.053139,0.13275,0.292443,-0.129987,-0.996518
-0.052434,0.04425,0.292416,-0.128281,-0.996604
-0.038621,0.39825,0.296414,-0.136711,-0.972577
-0.037726,0.39825,0.402005,-0.136064,-0.974398
-0.021143,0.30975,0.401984,-0.128543,-0.986254
-0.010025,0.22125,0.402132,-0.123331,-0.993428
-0.003239,0.13275,0.402211,-0.121456,-0.996785
0,0.04425,0.402203,-0.118741,-0.99846
