X (m),Y (m),Z (m),DX
-0.750008988,0.686643027,1.010872668,0.000534621
-0.768154089,0.689953531,1.00803651,0.000262747
-0.763008076,0.687129589,1.013225279,0.000266975
-0.750133739,0.679739621,1.026313941,0.00060365
-0.752881773,0.674288761,1.039009318,0.000278611
-0.765748022,0.681816269,1.025889762,0.000580295
-0.766115131,0.660197595,1.072341545,0.000627503
-0.766005848,0.667658425,1.056769247,0.000625605
-0.765891148,0.674864505,1.041287838,0.000557133
-0.766262939,0.652515057,1.087788015,0.000693531
-0.280720023,0.786615083,0.603113412,0.000480482
-0.266584356,0.779838867,0.609695288,0.000575714
-0.272435733,0.781766042,0.611364952,0.000228433
-0.274645701,0.783133211,0.609128903,0.000243954
-0.280769404,0.784906785,0.610607334,0.000482418
-0.286951226,0.788404748,0.604437809,0.000230006
-0.254654335,0.773015217,0.608027316,0.000555949
-0.25895905,0.775738207,0.609939755,0.000405548
-0.260812108,0.777785611,0.60798329,0.000309344
-0.26743995,0.77813818,0.616440832,0.000480531
-0.274189029,0.780832776,0.617233144,0.000476626
-0.280930019,0.780921395,0.625734084,0.000286793
-0.281086707,0.783208256,0.61787898,0.000449566
-0.282887673,0.78227661,0.623759597,0.000196208
-0.289485429,0.789785226,0.601927651,0.000225007
-0.288279378,0.787378021,0.610761801,0.000453885
-0.251728522,0.768955305,0.608830678,0.000351393
-0.256650153,0.771700138,0.61280994,8.28E-05
-0.261249735,0.774058787,0.615399092,0.00084743
-0.246659136,0.761877197,0.607954764,0.000447136
-0.248372311,0.76665272,0.606019241,0.000424323
-0.267914768,0.774420064,0.623781162,0.000550706
-0.269644931,0.777086993,0.621953563,0.000245028
-0.275154829,0.778964276,0.623948539,0.000574711
-0.28851934,0.781406408,0.633277435,0.000269606
-0.290668775,0.782845106,0.631177999,0.000219311
-0.282646461,0.779499111,0.631550258,0.000605968
-0.296140125,0.781605643,0.640844931,0.00026347
-0.288882132,0.783878188,0.625363217,0.00042892
-0.28842509,0.785593277,0.618239373,0.000475553
-0.296643494,0.78432454,0.632856944,0.000420438
-0.2996504,0.79183918,0.606882106,0.001765729
-0.298288932,0.783092411,0.63878976,0.000217613
-0.303979469,0.786553925,0.633258043,0.000459776
-0.252447016,0.762249106,0.615842381,0.000363726
-0.254376222,0.767003746,0.61419659,0.000674171
-0.258865814,0.769985244,0.617526827,6.61E-05
-0.263865597,0.772581466,0.621113155,0.000390903
-0.248922806,0.759701534,0.613096635,0.000469122
-0.270488565,0.77269865,0.628685959,0.000445493
-0.275067142,0.774729595,0.631577631,0.000573484
-0.276980261,0.777510852,0.629683483,0.000288445
-0.290187686,0.779785283,0.63913238,0.000586249
-0.28437837,0.777874187,0.637355548,0.000304669
-0.297854091,0.779876386,0.646639402,0.000572756
-0.300095145,0.788299389,0.622075,0.001757864
-0.312576456,0.795180743,0.60948314,0.000862598
-0.303800717,0.781669835,0.64845239,0.000276725
-0.304282485,0.784521627,0.640507751,0.0004307
-0.310301351,0.788117691,0.634665329,0.000229746
-0.259285968,0.762279074,0.624706869,0.000182848
-0.255799258,0.761073654,0.621226998,0.00061628
-0.257464164,0.765732806,0.619544291,0.000119638
-0.261420409,0.767710841,0.622750302,0.000667231
-0.246676432,0.753527335,0.615131783,0.000648863
-0.243420451,0.75220215,0.611611199,0.000177975
-0.244473924,0.747467694,0.617139736,0.000206778
-0.268593957,0.768581408,0.630576339,0.000458409
-0.277709522,0.772975124,0.636443012,0.000467352
