X (m),Y (m),Z (m),DX
0,0.003762109,0.181253838,7.80E-06
-9.25809E-06,0.007157662,0.179407846,0.000109081
-0.000159444,0.003261219,0.175263931,6.93E-05
-0.00016756,0.010395738,0.175335146,7.91E-05
-0.000204468,0.01816052,0.175485929,7.82E-05
-0.000217133,0.025934694,0.17570171,8.11E-05
-0.000218338,0.018136942,0.180005723,6.86E-05
-0.000283365,0.03371661,0.175884706,8.43E-05
-0.000289969,0.002177066,0.181806992,7.31E-06
-0.000374961,0.0414981,0.176102167,8.00E-05
-0.000377346,0.025892134,0.180214591,6.30E-05
-0.000456511,0.010811157,0.389998262,1.77E-06
-0.000464719,0.003367326,0.390552465,-9.09E-07
-0.000465417,0.033691012,0.180395124,6.07E-05
-0.000488654,0.018861775,0.389770405,1.48E-06
-0.000501576,0.049251512,0.176012226,7.35E-05
-0.000519409,0.041506807,0.180388519,5.73E-05
-0.00056903,0.026485488,0.389567712,-6.84E-07
-0.00058176,0.049248095,0.180124696,5.78E-05
-0.000621236,0.011446399,0.384873522,1.66E-05
-0.000640879,0.003484731,0.385377695,1.58E-05
-0.000642434,0.003303512,0.396501296,-1.16E-05
-0.000648413,0.010520083,0.396043087,-1.51E-05
-0.000658191,0.03387572,0.389404864,2.24E-06
-0.000660803,0.025980231,0.385421977,7.85E-06
-0.000674127,0.019874994,0.384868446,1.63E-05
-0.000689098,0.018363294,0.395765581,-1.43E-05
-0.000689782,0.056997179,0.175857115,7.49E-05
-0.000719306,0.056997076,0.180055548,6.05E-05
-0.00076392,0.026110947,0.395705622,-1.31E-05
-0.000781754,0.041481799,0.389557584,2.63E-06
-0.000841165,0.028353375,0.383922967,7.68E-06
-0.000842891,0.063485793,0.179420597,2.78E-05
-0.00085385,0.033761007,0.395634366,-1.30E-05
-0.000859707,0.033975228,0.384520251,1.67E-05
-0.000892221,0.01039086,0.169820241,8.70E-05
-0.000895266,0.003253629,0.169620024,7.41E-05
-0.000916439,0.064765962,0.175681085,7.72E-05
-0.000919138,0.049221632,0.389633278,3.98E-06
-0.000922678,0.018161546,0.170017299,8.76E-05
-0.000965221,0.00326742,0.403111567,-1.92E-05
-0.000969096,0.041471549,0.395594388,-1.23E-05
-0.000972877,0.025940766,0.170162112,8.84E-05
-0.000973144,0.041488367,0.384695044,1.66E-05
-0.000980316,0.010419773,0.402892944,-2.44E-05
-0.001023029,0.01819304,0.40272297,-2.43E-05
-0.001036361,0.002377733,0.382358809,9.10E-06
-0.001051616,0.033725117,0.170246694,8.93E-05
-0.001066734,0.057007909,0.38975802,4.34E-06
-0.001093359,0.049216512,0.384799648,1.64E-05
-0.001103133,0.02596308,0.402685084,-2.47E-05
-0.001110075,0.049230242,0.395644387,-1.14E-05
-0.001112507,0.041502544,0.170460309,9.25E-05
-0.001176688,0.072550073,0.175389632,7.64E-05
-0.001181674,0.066108578,0.180754974,3.83E-05
-0.001204778,0.033711286,0.402654638,-2.37E-05
-0.00121947,0.04925462,0.170542126,9.21E-05
-0.00124699,0.064781785,0.389821293,3.39E-06
-0.001253894,0.057049857,0.384925126,1.92E-05
-0.001280746,0.05699477,0.395752892,-1.04E-05
-0.001317733,0.041460561,0.402604601,-2.31E-05
-0.001351216,0.072609542,0.180100987,7.14E-05
-0.001352997,0.080339876,0.17544457,7.65E-05
-0.001384436,0.0032586,0.410194895,-2.66E-05
-0.001408103,0.056996604,0.170387686,9.01E-05
-0.001409739,0.010397473,0.410150065,-3.33E-05
-0.001453313,0.049221015,0.402619998,-2.16E-05
-0.001459748,0.018157572,0.410113024,-3.32E-05
-0.001471245,0.064815789,0.385090067,2.16E-05
-0.001476596,0.06475187,0.395778369,-8.82E-06
-0.001478707,0.072517401,0.389698563,4.52E-06
-0.001500709,0.088115927,0.175896323,8.46E-05
-0.001528112,0.08039931,0.180103882,6.97E-05
-0.00154177,0.025921775,0.41010226,-3.33E-05
-0.001617938,0.064745045,0.170238311,8.72E-05
-0.001623303,0.056977416,0.402645349,-2.05E-05
-0.0016514,0.03368632,0.410097731,-3.25E-05
-0.001661894,0.071216663,0.171028296,4.18E-05
-0.001690238,0.07250276,0.395668359,-7.99E-06
-0.001719964,0.088173694,0.180461419,5.52E-05
-0.001728019,0.080263492,0.389565067,5.34E-06
-0.001728286,0.072522911,0.385006842,2.19E-05
-0.001778266,0.041447327,0.410141902,-3.25E-05
