X (m),Y (m),Z (m),DX
0,0.002838834,0.181163955,2.68E-05
-1.18092E-05,0.018120482,0.179358202,0.000143152
-5.46592E-05,0.032376894,0.178604092,3.64E-05
-5.53741E-05,0.0068592,0.178644802,0.000304882
-6.85591E-05,0.025889452,0.179452068,0.000147723
-9.51166E-05,0.010400264,0.175647219,0.000302917
-0.000106881,0.018161798,0.175798274,0.000290508
-0.000149507,0.003260924,0.175417552,0.000267957
-0.000166832,0.025921975,0.175894283,0.000286395
-0.000200529,0.010905032,0.181171924,7.53E-05
-0.000247268,0.016818115,0.181003753,8.38E-05
-0.000297322,0.033670821,0.175842897,0.000285713
-0.000342763,0.003768744,0.181864833,4.51E-05
-0.000357473,0.027183469,0.181155528,8.57E-05
-0.000451727,0.033690452,0.18050348,0.000209138
-0.000460319,0.009942432,0.389684196,0.000256891
-0.000463533,0.003089318,0.390210174,0.000211478
-0.000479758,0.041452443,0.175681086,0.00029109
-0.000502102,0.017626399,0.389556906,0.000268469
-0.000574848,0.009373496,0.384821459,0.000196161
-0.000583079,0.02560058,0.389730665,0.000274114
-0.00059945,0.002852322,0.38526367,0.000174845
-0.000621628,0.049256011,0.175520121,0.000310304
-0.00063656,0.041481768,0.180142143,0.000257974
-0.000645026,0.003218521,0.396150096,0.000248789
-0.000652491,0.016893624,0.384639275,0.000228342
-0.000652968,0.010278304,0.395743347,0.000306472
-0.00067235,0.033579641,0.389681988,0.000269868
-0.000701714,0.018015117,0.395637117,0.000312746
-0.000715277,0.032159341,0.385420859,0.000124639
-0.000727873,0.049305921,0.180186571,0.000260955
-0.000730737,0.025191588,0.384673089,0.000263562
-0.000775934,0.041415413,0.389587065,0.000264834
-0.000779957,0.025827215,0.395702529,0.000308173
-0.000796116,0.057028003,0.1754731,0.000316906
-0.000837921,0.018165528,0.17039704,0.000363597
-0.000849879,0.01039681,0.170127436,0.000365956
-0.000878786,0.033645632,0.395707557,0.000309814
-0.000886765,0.003253368,0.169800691,0.000302659
-0.000888615,0.025921151,0.170512086,0.000364399
-0.000894338,0.057079047,0.180247355,0.000263997
-0.000905717,0.000444174,0.382596909,7.34E-06
-0.00091515,0.049284963,0.389525036,0.000268899
-0.000946785,0.04015339,0.171349788,0.000180642
-0.000960373,0.03474417,0.384019571,0.000100038
-0.000973388,0.00325148,0.402894979,0.000271627
-0.000974187,0.064779619,0.175589504,0.000306736
-0.00098956,0.010373336,0.402709522,0.000331085
-0.000991634,0.041394749,0.39559364,0.000312463
-0.000993534,0.033677307,0.170472913,0.000363467
-0.001038698,0.041366748,0.384948377,0.000209823
-0.001041992,0.018126251,0.402644833,0.000336311
-0.001109646,0.057131928,0.389296025,0.000289229
-0.001125179,0.025896079,0.402636785,0.000336901
-0.001129911,0.064829267,0.18027056,0.000262344
-0.001130979,0.072515019,0.175652093,0.000314864
-0.001132921,0.049214142,0.395564203,0.000328716
-0.001227374,0.033671095,0.402634389,0.000337435
-0.00130112,0.072583461,0.180346719,0.000254513
-0.001307468,0.057087586,0.395614435,0.000333374
-0.001342053,0.049231086,0.170093535,0.000346769
-0.001344234,0.041398703,0.402586929,0.000336536
-0.00134465,0.064940753,0.389343951,0.000302603
-0.00134679,0.04945337,0.38458536,0.000257292
-0.001351046,0.08024605,0.175468308,0.000309818
-0.001351621,0.042750639,0.169295727,0.000179261
-0.001409931,0.00325502,0.410127711,0.000279612
-0.001432852,0.010386326,0.41007004,0.000333529
-0.001440359,0.034686789,0.381874144,7.97E-05
-0.001474849,0.024606737,0.408797619,0.000169219
-0.001485834,0.018139553,0.410052356,0.000336031
-0.001489031,0.049198519,0.402625175,0.000351839
-0.001495551,0.08032001,0.180186085,0.000261402
-0.001507267,0.064914671,0.395732355,0.000335791
-0.001517917,0.056997619,0.170046194,0.000339181
-0.00154516,0.072833144,0.389378767,0.00030706
-0.001644187,0.057318877,0.384001039,0.000250231
-0.001664288,0.057054812,0.402739753,0.000347999
-0.001676857,0.088059689,0.175461735,0.000307783
-0.001678284,0.027202461,0.411333986,0.000171705
-0.001681847,0.06476436,0.170174275,0.000346726
-0.001687189,0.03368327,0.410096609,0.000345578
-0.001725736,0.072744241,0.395750571,0.000336116
-0.001738431,0.080499557,0.389411228,0.000276114
-0.001798482,0.088119857,0.180220685,0.000278683
-0.001805173,0.041452207,0.410079058,0.000348874
-0.00181087,0.064832722,0.383838304,0.000263971
-0.001856953,0.010427396,0.18402293,0.000240052
-0.001861505,0.064844698,0.402801091,0.000346469
-0.001863661,0.01814702,0.184012751,0.000244402
-0.001899113,0.072507481,0.17012144,0.000349809
-0.001937341,0.003255127,0.417500008,0.000272892
-0.001949577,0.049227602,0.410104809,0.000348371
-0.001962364,0.095886792,0.175608577,0.000308615
