0.0,0.0,0.0;0.0,5.0,0.0;0.0,10.0,0.0;0.0,15.0,0.0;0.0,20.0,0.0;0.0,25.0,0.0;0.0,30.0,0.0;0.0,35.0,0.0;0.0,40.0,0.0;0.0,45.0,0.0;0.0,50.0,0.0;0.0,55.0,0.0;0.0,60.0,0.0;0.0,65.0,0.0;0.0,70.0,0.0;0.0,75.0,0.0;0.0,80.0,0.0;0.0,85.0,0.0;0.0,90.0,0.0;0.0,95.0,0.0;0.0,100.0,0.0
3.3333333333333335,0.0,0.0;3.3333333333333335,5.0,0.0;3.3333333333333335,10.0,0.0;3.3333333333333335,15.0,0.0;3.3333333333333335,20.0,0.0;3.3333333333333335,25.0,0.0;3.3333333333333335,30.0,0.0;3.3333333333333335,35.0,0.0;3.3333333333333335,40.0,0.0;3.3333333333333335,45.0,0.0;3.3333333333333335,50.0,0.0;3.3333333333333335,55.0,0.0;3.3333333333333335,60.0,0.0;3.3333333333333335,65.0,0.0;3.3333333333333335,70.0,0.0;3.3333333333333335,75.0,25.0;3.3333333333333335,80.0,25.0;3.3333333333333335,85.0,25.0;3.3333333333333335,90.0,0.0;3.3333333333333335,95.0,0.0;3.3333333333333335,100.0,0.0
6.666666666666667,0.0,0.0;6.666666666666667,5.0,0.0;6.666666666666667,10.0,0.0;6.666666666666667,15.0,0.0;6.666666666666667,20.0,0.0;6.666666666666667,25.0,0.0;6.666666666666667,30.0,0.0;6.666666666666667,35.0,0.0;6.666666666666667,40.0,0.0;6.666666666666667,45.0,0.0;6.666666666666667,50.0,0.0;6.666666666666667,55.0,0.0;6.666666666666667,60.0,0.0;6.666666666666667,65.0,0.0;6.666666666666667,70.0,0.0;6.666666666666667,75.0,25.0;6.666666666666667,80.0,50.0;6.666666666666667,85.0,25.0;6.666666666666667,90.0,0.0;6.666666666666667,95.0,0.0;6.666666666666667,100.0,0.0
10.0,0.0,0.0;10.0,5.0,0.0;10.0,10.0,0.0;10.0,15.0,0.0;10.0,20.0,0.0;10.0,25.0,0.0;10.0,30.0,0.0;10.0,35.0,0.0;10.0,40.0,0.0;10.0,45.0,0.0;10.0,50.0,0.0;10.0,55.0,0.0;10.0,60.0,0.0;10.0,65.0,0.0;10.0,70.0,0.0;10.0,75.0,25.0;10.0,80.0,25.0;10.0,85.0,25.0;10.0,90.0,0.0;10.0,95.0,0.0;10.0,100.0,0.0
13.333333333333334,0.0,0.0;13.333333333333334,5.0,0.0;13.333333333333334,10.0,0.0;13.333333333333334,15.0,0.0;13.333333333333334,20.0,0.0;13.333333333333334,25.0,0.0;13.333333333333334,30.0,0.0;13.333333333333334,35.0,0.0;13.333333333333334,40.0,0.0;13.333333333333334,45.0,0.0;13.333333333333334,50.0,0.0;13.333333333333334,55.0,0.0;13.333333333333334,60.0,0.0;13.333333333333334,65.0,0.0;13.333333333333334,70.0,0.0;13.333333333333334,75.0,0.0;13.333333333333334,80.0,0.0;13.333333333333334,85.0,0.0;13.333333333333334,90.0,0.0;13.333333333333334,95.0,0.0;13.333333333333334,100.0,0.0
16.666666666666668,0.0,0.0;16.666666666666668,5.0,0.0;16.666666666666668,10.0,0.0;16.666666666666668,15.0,0.0;16.666666666666668,20.0,0.0;16.666666666666668,25.0,0.0;16.666666666666668,30.0,0.0;16.666666666666668,35.0,0.0;16.666666666666668,40.0,0.0;16.666666666666668,45.0,0.0;16.666666666666668,50.0,0.0;16.666666666666668,55.0,0.0;16.666666666666668,60.0,0.0;16.666666666666668,65.0,0.0;16.666666666666668,70.0,0.0;16.666666666666668,75.0,0.0;16.666666666666668,80.0,0.0;16.666666666666668,85.0,0.0;16.666666666666668,90.0,0.0;16.666666666666668,95.0,0.0;16.666666666666668,100.0,0.0
20.0,0.0,0.0;20.0,5.0,0.0;20.0,10.0,0.0;20.0,15.0,0.0;20.0,20.0,0.0;20.0,25.0,0.0;20.0,30.0,0.0;20.0,35.0,0.0;20.0,40.0,0.0;20.0,45.0,0.0;20.0,50.0,0.0;20.0,55.0,0.0;20.0,60.0,0.0;20.0,65.0,0.0;20.0,70.0,0.0;20.0,75.0,0.0;20.0,80.0,0.0;20.0,85.0,0.0;20.0,90.0,0.0;20.0,95.0,0.0;20.0,100.0,0.0
23.333333333333332,0.0,0.0;23.333333333333332,5.0,0.0;23.333333333333332,10.0,0.0;23.333333333333332,15.0,0.0;23.333333333333332,20.0,0.0;23.333333333333332,25.0,0.0;23.333333333333332,30.0,0.0;23.333333333333332,35.0,0.0;23.333333333333332,40.0,0.0;23.333333333333332,45.0,25.0;23.333333333333332,50.0,25.0;23.333333333333332,55.0,25.0;23.333333333333332,60.0,0.0;23.333333333333332,65.0,0.0;23.333333333333332,70.0,0.0;23.333333333333332,75.0,0.0;23.333333333333332,80.0,0.0;23.333333333333332,85.0,0.0;23.333333333333332,90.0,0.0;23.333333333333332,95.0,0.0;23.333333333333332,100.0,0.0
26.666666666666664,0.0,0.0;26.666666666666664,5.0,0.0;26.666666666666664,10.0,0.0;26.666666666666664,15.0,0.0;26.666666666666664,20.0,0.0;26.666666666666664,25.0,0.0;26.666666666666664,30.0,0.0;26.666666666666664,35.0,0.0;26.666666666666664,40.0,0.0;26.666666666666664,45.0,25.0;26.666666666666664,50.0,50.0;26.666666666666664,55.0,25.0;26.666666666666664,60.0,0.0;26.666666666666664,65.0,0.0;26.666666666666664,70.0,0.0;26.666666666666664,75.0,0.0;26.666666666666664,80.0,0.0;26.666666666666664,85.0,0.0;26.666666666666664,90.0,0.0;26.666666666666664,95.0,0.0;26.666666666666664,100.0,0.0
29.999999999999996,0.0,0.0;29.999999999999996,5.0,0.0;29.999999999999996,10.0,0.0;29.999999999999996,15.0,0.0;29.999999999999996,20.0,0.0;29.999999999999996,25.0,0.0;29.999999999999996,30.0,0.0;29.999999999999996,35.0,0.0;29.999999999999996,40.0,0.0;29.999999999999996,45.0,25.0;29.999999999999996,50.0,25.0;29.999999999999996,55.0,25.0;29.999999999999996,60.0,0.0;29.999999999999996,65.0,0.0;29.999999999999996,70.0,0.0;29.999999999999996,75.0,0.0;29.999999999999996,80.0,0.0;29.999999999999996,85.0,0.0;29.999999999999996,90.0,0.0;29.999999999999996,95.0,0.0;29.999999999999996,100.0,0.0
